999,Date,BTC,ETH,XRP,USDT,BCH,LTC,EOS,BNB,BSV,XTZ,XLM,TRX,ADA,ATOM,LEO,XMR,HT,LINK,NEO,DASH,ETC,MIOTA,CRO,USDC,STO,TAGZ5,MIN,INNBCL,HEX,ACA,COMP,VET,VEST,XEM,DOT,YFI,WBTC,BUSD,DAI,FIL,ALGO,REV,THETA,UNI,AAVE,DOGE,SNX,EGLD,AVAX,SOL,LUNA,KLAY,BTT,SHIB,ICP,MATIC,FTT,UST
,2021-11-20,59697.20,4409.93,1.10,1.00,,227.08,,603.84,,,,,1.92,,,,,28.33,,,,,0.5793,0.9997,,,,,,,,,,,42.06,,59557.97,0.9986,,,,,,22.01,,0.233,,,125.77,218.02,45.12,,,0.00004763,,1.66,,
,2021-11-21,58730.48,4269.73,1.06,1.00,,221.77,,585.29,,,,,1.84,,,,,29.04,,,,,0.7294,1.00,,,,,,,,,,,42.01,,58316.12,1.00,,,1.83,,,21.70,,0.2263,,,128.60,231.28,43.60,,,0.00004419,,,,
,2021-11-22,56289.29,4088.46,1.04,1.00,,209.16,,559.13,,,,,1.78,,,,,26.76,,,,,0.7346,1,,,,,,,,,,,39.45,,55790.24,0.9999,,,,,,20.99,,0.2197,,,134.53,215.74,41.07,,,0.00004322,,1.56,,
,2021-11-23,57569.07,4340.76,1.07,1.00,,216.39,,591.44,,,,,1.75,,,,,26.93,,,,,0.9005,1.00,,,,,,,,,,,40.79,,57166.94,1.00,,,,,,22.18,,0.2265,,,123.83,221.84,42.69,,,0.00004186,,1.75,,
,2021-11-24,57206.37,4276.04,1.03,0.9997,,212.41,,590.84,,,,,1.67,,,,,25.64,,,,,0.8908,0.9993,,,,,,,,,,,38.37,,56589.58,0.9985,,,,,,20.84,,0.2173,,,115.19,206.07,38.60,,,0.00003789,,1.69,,
,2021-11-25,58927.89,4519.46,1.04,1.00,,222.87,,638.72,,,,,1.68,,,,,26.38,,,,,0.8127,1.00,,,,,,,,,,,39.45,,58568.69,1.00,,,,,,21.39,,0.221,,,119.32,209.87,43.56,,,0.0000425,,1.93,,
,2021-11-26,53569.76,4030.91,0.9364,1.00,,194.87,,585.15,,,,,1.53,,,,,23.86,,,,,0.6901,0.9998,,,,,,,,,,,34.39,,53213.56,0.9994,,,,,,19.19,,0.2009,,,103.83,191.51,40.77,,,0.00003849,,1.63,,
,2021-11-27,54815.08,4096.91,0.9472,1.00,,195.17,,600.34,,,,,1.55,,,,,24.11,,,,,0.7838,1.00,,,,,,,,,,,35.19,,53844.35,1.00,,,,,,19.51,,0.2053,,,113.28,193.10,43.89,,,0.00003934,,1.61,,
,2021-11-28,57248.46,4294.45,0.9688,1.00,,199.35,,611.37,,,,,1.59,,,,,24.82,,,,,0.7539,0.9999,,,,,,,,,,,35.77,,56022.03,1.00,,,,,,20.17,,0.2075,,,110.59,200.68,50.10,,,0.0000391,,1.65,,
,2021-11-29,57806.57,4445.11,0.992,1.00,,205.87,,624.31,,,,,1.60,,,,,25.02,,,,,0.714,1.00,,,,,,,,,,,37.16,,57117.33,0.9998,,,,,,20.30,,0.2152,,,120.26,204.32,51.70,,,0.00004551,,1.82,,
,2021-11-30,57005.43,4631.48,0.9988,1.00,,208.01,,622.67,,,,,1.55,,,,,25.34,,,,,0.6904,0.9995,,,,,,,,,,,37.96,,55833.16,0.9997,,,,,,21.24,,0.2147,,,120.34,208.67,59.72,,,0.00004745,,1.79,,
,2021-12-01,57229.83,4586.99,0.9909,1.00,,208.97,,627.97,,,,,1.55,,,,,,,,,,0.7212,0.9996,,,,,,,,,,,36.77,,56185.12,1.00,,,1.97,,,20.97,,0.2095,,,119.75,229.80,64.23,,,0.00004422,,2.01,,
,2021-12-02,56477.82,4511.30,0.9723,1.00,,203.49,,619.47,,,,,1.72,,,,,,,,,,0.6941,0.9988,,,,,,,,,,,35.76,,55728.47,0.9998,,,1.88,,,22.37,,0.2097,,,107.87,233.99,66.18,,,0.00004215,,2.13,,
,2021-12-03,53598.25,4220.71,0.9222,1.00,,188.10,,594.64,,,,,1.56,,,,,,,,,,0.6397,1.00,,,,,,,,,,,33.64,,52643.39,1.00,,,1.74,,,19.93,,0.2,,,108.14,211.22,63.34,,,0.00004041,,2.27,,
,2021-12-04,49200.70,4119.59,0.847,1.00,,163.05,,569.08,,,,,1.42,,,,,,,,,,0.6093,1,,,,,,,,,,,29.37,,48835.70,1.00,,,1.65,,,17.19,,0.1789,,,92.88,201.12,75.56,,,0.00003652,,1.98,,
,2021-12-05,49368.85,4198.32,0.8056,1.00,,156.41,,557.78,,,,,1.38,,,,,,,,,,0.5639,0.9987,,,,,,,,,,,28.31,,49009.36,0.9993,,,1.76,,,16.53,,0.1713,,,85.79,196.17,68.11,,,0.00003622,,2.05,,
,2021-12-06,50582.63,4358.74,0.8283,1.00,,161.89,,589.26,,,,,1.43,,,,,,,,,,0.5974,0.9995,,,,,,,,,,,28.25,,50185.42,1.00,,,1.77,,,17.35,,0.1784,,,93.32,194.20,67.29,,,0.00003693,,2.28,,
,2021-12-07,50700.08,4315.06,0.8186,1.00,,162.29,,579.69,,,,,1.38,,,,,,,,,,0.6155,1.00,,,,,,,,,,,30.54,,50356.11,1.00,,,1.69,,,17.23,,0.1768,,,89.95,190.60,68.98,,,0.00003631,,2.37,,
,2021-12-08,50504.80,4439.36,0.8633,0.9994,,165.22,,607.59,,,,,1.40,,,,,,,,,,0.6121,0.9999,,,,,,,,,,,29.87,,50189.50,0.9989,,,1.70,,,18.67,,0.1792,,,93.22,194.62,75.04,,,0.00003692,,2.42,,
,2021-12-09,47672.12,4119.82,0.8613,1.00,,151.80,,571.65,,,,,1.29,,,,,,,,,,0.568,1.00,,,,,,,,,,,26.95,,47562.38,1.00,,,1.55,,,16.21,,0.1695,,,85.46,181.18,66.48,,,0.00003472,,2.09,,
,2021-12-10,47243.31,3908.50,0.8011,1.00,,148.60,,552.97,,,,,1.21,,,,,,,,,,0.5495,1.00,,,,,,,,,,,26.45,,47065.94,1.00,,,1.46,,,15.17,,0.1644,,,80.74,167.95,60.93,,,0.00003357,,2.10,,
,2021-12-11,49362.51,4084.45,0.8393,1.00,,158.04,,564.32,,,,,1.35,,,,,,,,,,0.5786,1.00,,,,,,,,,,,27.77,,48772.82,1.00,,,1.53,,,15.89,,0.169,,,86.39,171.95,59.98,,,0.00003442,,2.13,,
,2021-12-12,50098.34,4134.45,0.8413,1.00,,159.20,,570.82,,,,,1.35,,,,,,,,,,0.6038,1.00,,,,,,,,,,,29.61,,49638.46,1.00,,,1.54,,,16.02,,0.1699,,,88.11,173.43,61.92,,,0.00003665,,2.09,,
,2021-12-13,46737.48,3784.23,0.7829,1.00,,144.54,,521.01,,,,,1.23,,,,,,,,,,0.5328,0.9998,,,,,,,,,,,25.97,,46476.17,0.9996,,,,,,14.15,,0.1576,,,79.15,155.21,52.75,,,0.00003293,,1.82,,1.00
,2021-12-14,48383.87,3859.71,0.8117,1.00,,150.55,,528.50,,,,,1.27,,,,,,,,,,0.5445,1,,,,,,,,,,,26.17,,47843.38,0.9994,1.00,,,,,14.98,,0.191,,,87.31,161.29,60.29,,,0.000034,,1.94,,
,2021-12-15,48896.72,4018.39,0.8274,1.00,,153.52,,541.03,,,,,1.31,,,,,19.71,,,,,0.5571,1.00,,,,,,,,,,,27.15,,48551.98,1.00,,,,,,15.18,,0.1811,,,101.18,178.34,61.53,,,0.00003386,,2.12,,
,2021-12-16,47665.43,3962.47,0.8062,1.00,,148.94,,526.25,,,,,1.24,,,,,,,,,,0.5402,0.999,,,,,,,,,,,26.04,,47512.51,1.00,0.9984,,,,,14.42,,0.1735,,,98.40,176.95,64.32,,,0.0000328,,2.07,,
,2021-12-17,46202.14,3879.49,0.7993,1.00,,144.34,,525.71,,,,,1.22,,,,,,,,,,0.5223,0.9998,,,,,,,,,,,24.66,,46342.39,1.00,0.9957,,,,,15.01,,0.169,,,111.01,175.50,65.71,,,0.00003122,,2.13,,
,2021-12-18,46848.78,3960.86,0.8274,1.00,,148.80,,533.89,,,,,1.24,,,,,,,,,,0.5271,0.9999,,,,,,,,,,,25.49,,46717.59,1.00,1.00,,,,,15.58,,0.1724,,,116.02,182.84,74.00,,,0.00003143,,2.23,,
,2021-12-19,46707.01,3922.59,0.835,1,,153.08,,529.97,,,,,1.24,,,,,,,,,,0.5141,0.9999,,,,,,,,,,,24.79,,46596.29,0.9999,0.9994,,,,,14.96,,0.1696,,,107.67,180.10,78.23,,,0.00003079,,2.22,,
,2021-12-20,46880.28,3933.84,0.8798,0.999,,152.63,,523.16,,,,,1.24,,,,,,,,,,0.5,0.9996,,,,,,,,,,,24.05,,46739.10,0.9994,1.00,,,,,,,0.1673,,,113.41,173.67,82.07,,,0.0000312,,2.13,,1.00
,2021-12-21,48936.61,4020.26,0.9476,1.00,,154.93,,528.71,,,,,1.28,,,,,,,,,,0.5296,1.00,,,,,,,,,,,25.19,,48264.77,1.00,1.00,,,,,15.07,,0.1712,,,123.33,180.09,87.45,,,0.00003291,,2.38,,
,2021-12-22,48628.51,3982.10,0.9547,1.00,,155.47,,533.64,,,,,1.33,,,,,,,,,,0.5377,0.9982,,,,,,,,,,,27.22,,48262.42,1.00,,,,,,16.23,,0.1732,,,116.48,178.60,85.48,,,0.00003505,,2.50,,1.00
,2021-12-23,50784.54,4108.02,0.9933,1.00,,163.45,,548.73,,,,,1.47,,,,,22.14,,,,,0.595,1.00,,,,,,,,,,,29.11,,50661.60,0.9998,,,,,,18.13,,0.1845,,,121.21,190.04,93.85,,,0.00003859,,2.68,,
,2021-12-24,50822.20,4047.98,0.912,1.00,,161.42,,541.90,,,,,1.39,,,,,21.47,,,,,0.6273,1.00,,,,,,,,,,,28.14,,50741.74,1.00,,,,,,17.48,,0.1866,,,114.98,190.27,95.97,,,0.00003619,,2.47,,
,2021-12-25,50429.86,4093.28,0.9248,0.9999,,157.79,,547.33,,,,,1.45,,,,,22.12,,,,,0.6461,0.9999,,,,,,,,,,,28.84,,50854.58,1,,,,,,17.47,,0.1907,,,115.03,193.12,98.18,,,0.00003771,,2.64,,
,2021-12-26,50809.52,4067.33,0.9212,1.00,,155.99,,546.99,,,,,1.46,,,,,23.01,,,,,0.6259,0.9991,,,,,,,,,,,31.33,,50703.69,0.9999,,,,,,18.69,,0.19,,,115.21,198.00,99.72,,,0.00003831,,2.88,,
,2021-12-27,50640.42,4037.55,0.9262,0.9999,,155.88,,562.64,,,,,1.51,,,,,22.98,,,,,0.6241,0.9996,,,,,,,,,,,30.91,,50704.61,0.9983,,,,,,19.07,,0.1877,,,113.60,195.43,90.80,,,0.00003897,,2.73,,
,2021-12-28,47588.85,3800.89,0.853,1.00,,145.89,,534.93,,,,,1.40,,,,,,,,,,0.567,1.00,,,,,,,,,,,27.91,,48013.63,1.00,,,,,,18.45,,0.1741,,,107.22,177.43,85.37,,,0.00003494,,2.50,,1.00
,2021-12-29,46444.71,3628.53,0.8167,1.00,,145.51,,514.00,,,,,1.33,,,,,,,,,,0.5466,0.9995,,,,,,,,,,,26.74,,47103.54,1.00,,,,,,17.09,,0.1678,,,103.00,170.66,84.06,,,0.00003363,,2.47,,1.00
,2021-12-30,47178.13,3713.85,0.8396,1.00,,148.29,,518.91,,,,,1.36,,,,,,,,,,0.5537,1.00,,,,,,,,,,,27.57,,47574.25,1.00,,,1.73,,,17.82,,0.1713,,,101.93,172.75,84.71,,,0.00003378,,2.56,,
,2021-12-31,46306.45,3682.63,0.8312,1.00,,146.51,,511.71,,,,,1.31,,,,,,,,,,0.5575,1.00,,,,,,,,,,,26.72,,46434.09,1.00,,,1.66,,,17.07,,0.1705,,,109.27,170.30,85.47,,,0.00003341,,2.53,,
